type,55,60,65,70,75,source
"Single life, level, no guarantee",6186,6543,7104,7962,9366,https://www.sharingpensions.co.uk/annuity_rates.htm
"Single life, level, 10 year guarantee",6154,6481,7001,7739,8674,
"Single life, 3% escalation, no guarantee",4178,4498,5188,6029,7695,
"50% Joint life, level",5792,6170,6680,7520,8620,
"50% Joint life, level",5626,5916,6391,7147,8133,
"50% Joint life, 3% escalation",3786,4227,4738,5473,6701,
